Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Tipo de operación,Superficie construida,Superficie útil,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Planta,Gastos de comunidad,Superficie solar,Exterior,Interior
Chalet unifamiliar en alquiler en Castillo-Campodón,Castillo-Campodón (Villaviciosa de Odón),7.000,554,Anuncio actualizado el 21/10/2024,,,Alquiler,554 m²,500 m²,4,6,,Entre 10 y 20 años,En buen estado,4990706-chainvlj,,,1.000 m²,,
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Plaza del Marqués de Salamanca",Castellana (Distrito Salamanca. Madrid Capital),2.355,60,Anuncio actualizado el 16/07/2024,Consumo:453 kWh/m² año,Emisiones:95 Kg CO₂/m² año,Alquiler,60 m²,,2,2,,,En buen estado,SA5186-ZEILA,6ª,,,,
"Piso en alquiler en Calle de Fernán González, cerca de Calle del Doce de Octubre",Niño Jesús (Distrito Retiro. Madrid Capital),3.185,80,Anuncio actualizado el 19/08/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,80 m²,,3,2,,,En buen estado,SA5186-TEATRO,7ª,,,,
Piso en alquiler en El Viso,El Viso (Distrito Chamartín. Madrid Capital),2.400,101,Anuncio actualizado el 08/10/2024,Consumo:225 kWh/m² año,Emisiones:47 Kg CO₂/m² año,Alquiler,101 m²,,2,2,,Más de 50 años,A estrenar,TC1157-592392,,,,,
Ático en alquiler en Plaza de Manolete,Cuatro Caminos (Distrito Tetuán. Madrid Capital),1.750,70,Anuncio actualizado el 28/10/2024,,,Alquiler,70 m²,65 m²,1,1,,Entre 20 y 30 años,Reformado,996542-3615-D,15ª,,,,
"Piso en alquiler en Avenida de América, cerca de Calle de Cartagena",Prosperidad (Distrito Chamartín. Madrid Capital),4.500,177,Anuncio actualizado el 28/10/2024,,,Alquiler,177 m²,165 m²,4,4,,Entre 20 y 30 años,Reformado,996542-274-D,4ª,,,,
"Piso en alquiler en Calle de la Jacaranda, 10, cerca de Calle de Alpedrete",Atocha (Distrito Arganzuela. Madrid Capital),1.325,60,Anuncio actualizado el 28/10/2024,,,Alquiler,60 m²,,1,1,,,A estrenar,4528721-21340822,,,,,
Piso en alquiler en Retiro,Ibiza (Distrito Retiro. Madrid Capital),5.000,156,Anuncio actualizado el 28/10/2024,,,Alquiler,156 m²,,2,3,,,,GM19-195107,,,,Exterior,
Piso en alquiler en Salamanca,Justicia-Chueca (Distrito Centro. Madrid Capital),4.500,220,Anuncio actualizado el 28/10/2024,,,Alquiler,220 m²,,4,3,,,,GM19-196222,,,,Exterior,
Ático en alquiler en Calle de Jerónimo de la Quintana,Trafalgar (Distrito Chamberí. Madrid Capital),3.535,90,Anuncio actualizado el 16/07/2024,Consumo:128 kWh/m² año,Emisiones:128 Kg CO₂/m² año,Alquiler,90 m²,,3,2,,,En buen estado,SA5186-CASORIA,7ª,,,,
Piso en alquiler en Calle del Cerrillo,Bustarviejo,720,86,Anuncio actualizado el 28/10/2024,,,Alquiler,86 m²,,2,2,,,,AF189-2216/55,,,,,
Piso en alquiler en Calle Cava Baja,Palacio (Distrito Centro. Madrid Capital),1.500,37,Anuncio actualizado el 28/10/2024,,,Alquiler,37 m²,35 m²,1,1,,,En buen estado,WTC45-28-85-3343,2ª,,,,
Dúplex en alquiler en Valleaguado-Cañada,Valleaguado-La Cañada (Coslada),1.300,74,Anuncio actualizado el 28/10/2024,Consumo:226 kWh/m² año,Emisiones:46 Kg CO₂/m² año,Alquiler,74 m²,68 m²,2,2,,Entre 10 y 20 años,En buen estado,SA185-MA-515,2ª,Entre 60 y 80 €,,,
"Piso en alquiler en Calle del Príncipe de Vergara, cerca de Calle Hermosilla",Goya (Distrito Salamanca. Madrid Capital),10.000,310,Anuncio actualizado el 28/10/2024,,,Alquiler,310 m²,300 m²,4,5,,,Reformado,SA88-alqsqayjpp,1ª,,,,
"Piso en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.600,60,Anuncio actualizado el 28/10/2024,,,Alquiler,60 m²,55 m²,1,1,,,En buen estado,SA88-ALQNZPAD,5ª,,,,
Apartamento en alquiler en Calle del Río,Palacio (Distrito Centro. Madrid Capital),1.750,28,Anuncio actualizado el 28/10/2024,,,Alquiler,28 m²,25 m²,1,1,,Menos de 5 años,A estrenar,996542-1298 AM,Bajo,,,,
Piso en alquiler en Madrid,Castellana (Distrito Salamanca. Madrid Capital),6.000,264,Anuncio actualizado el 28/10/2024,,,Alquiler,264 m²,,4,4,,,Reformado,SA88-ALQSQM3,3ª,,,,
"Apartamento en alquiler en Calle de Atocha, cerca de Calle de Relatores",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.080,55,Anuncio actualizado el 28/10/2024,,,Alquiler,55 m²,50 m²,1,1,,,En buen estado,SA88-ALQGVPAAC,3ª,,,,
Piso en alquiler en Calle de Fomento,Palacio (Distrito Centro. Madrid Capital),3.400,99,Anuncio actualizado el 28/10/2024,,,Alquiler,99 m²,89 m²,2,2,,Menos de 5 años,A estrenar,996542-1536 AM,2ª,,,,
Piso en alquiler en Calle del Pintor Murillo,Carlos Ruiz (Collado Villalba),1.100,120,Anuncio actualizado el 28/10/2024,Consumo:226 kWh/m² año,Emisiones:47 Kg CO₂/m² año,Alquiler,120 m²,100 m²,4,2,,Entre 30 y 50 años,En buen estado,4992271-1134,1ª,,,,
Piso en alquiler en Calle del Humilladero,Centro (Villaviciosa de Odón),1.650,123,Anuncio actualizado el 16/10/2024,Consumo:55 kWh/m² año,Emisiones:11 Kg CO₂/m² año,Alquiler,123 m²,103 m²,3,2,,Menos de 5 años,En buen estado,4998664-001357,2ª,,,,
"Piso en alquiler en Calle de Fuencarral, cerca de Calle de Manuela Malasaña",Universidad-Malasaña (Distrito Centro. Madrid Capital),1.500,75,Anuncio actualizado el 28/10/2024,,,Alquiler,75 m²,,2,1,,Entre 30 y 50 años,,SA768-01429/2151,4ª,,,,
Chalet pareado en alquiler en Avenida de la Concordia,Centro (Villaviciosa de Odón),2.400,269,Anuncio actualizado el 25/10/2024,,,Alquiler,269 m²,240 m²,5,3,,,En buen estado,991623-29999VCA,,,288 m²,,
"Piso en alquiler en Calle de Ayala, cerca de Paseo de la Castellana",Recoletos (Distrito Salamanca. Madrid Capital),4.500,240,Anuncio actualizado el 28/10/2024,,,Alquiler,240 m²,230 m²,2,3,,Entre 30 y 50 años,Reformado,996542-5323-VC,4ª,,,,
"Piso en alquiler en Avenida Arribes del Duero, 14",Arroyos y Tempranales (San Sebastián de los Reyes),1.284,85,Anuncio actualizado el 21/10/2024,,,Alquiler,85 m²,,3,2,,,A estrenar,4528991-21490405,1ª,,,,
Piso en alquiler en Avenida de los Artesanos,Nuevo Tres Cantos (Tres Cantos),1.200,80,Anuncio actualizado el 22/10/2024,Consumo:165 kWh/m² año,Emisiones:35 Kg CO₂/m² año,Alquiler,80 m²,,2,2,,Entre 20 y 30 años,En buen estado,TC1074-569959,,,,,
Chalet unifamiliar en alquiler en Calle de Cortada,El Berrueco,1.800,225,Anuncio actualizado el 28/10/2024,,,Alquiler,225 m²,170 m²,3,3,,Entre 10 y 20 años,En buen estado,515809-2325,,,500 m²,,
Piso en alquiler en La Navata,La Navata (Galapagar),1.500,85,Anuncio actualizado el 24/10/2024,,,Alquiler,85 m²,,2,2,,Menos de 5 años,En buen estado,IF6229-AR-1588,,,,,
Piso en alquiler en Calle del Peso Hispano,Pau de Carabanchel (Distrito Carabanchel. Madrid Capital),910,38,Anuncio actualizado el 28/10/2024,,,Alquiler,38 m²,32 m²,1,1,,Entre 10 y 20 años,,SA398-TRA2210/1865,2ª,,,,
"Piso en alquiler en Calle de Juan Bravo, cerca de Calle del Conde de Peñalver",Lista (Distrito Salamanca. Madrid Capital),5.200,275,Anuncio actualizado el 28/10/2024,,,Alquiler,275 m²,,5,4,,,En buen estado,IF6381-S bravo 5alq,5ª,,,,
"Piso en alquiler en Calle de Padilla, cerca de Calle de Montesa",Lista (Distrito Salamanca. Madrid Capital),1.350,47,Anuncio actualizado el 28/10/2024,,,Alquiler,47 m²,44 m²,2,1,,Más de 50 años,,SA398-TRA2205/1865,3ª,,,,
"Piso en alquiler en Calle de Carlos Picabea, 7",Los Ángeles-Jarandilla (Torrelodones),1.500,90,Anuncio actualizado el 28/10/2024,,,Alquiler,90 m²,,3,2,,,En buen estado,IF6229-A-1769,,,,,
"Piso en alquiler en Calle Ginos, Número 2",Puerto de Navacerrada (Cercedilla),600,66,Anuncio actualizado el 21/10/2024,,,Alquiler,66 m²,56 m²,1,1,,Entre 30 y 50 años,En buen estado,4994129-Ginos_2,6ª,,,,
Piso en alquiler en Palacio,Palacio (Distrito Centro. Madrid Capital),4.500,150,Anuncio actualizado el 28/10/2024,,,Alquiler,150 m²,145 m²,4,2,,,,SA768-01345/2151,4ª,,,,
Piso en alquiler en Calle de la Ruda,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2.250,78,Anuncio actualizado el 23/10/2024,,,Alquiler,78 m²,71 m²,3,1,,Más de 50 años,En buen estado,4519303-000990,1ª,Entre 20 y 40 €,,,
Piso en alquiler en Calle de José Calvo,Berruguete (Distrito Tetuán. Madrid Capital),1.150,90,Anuncio actualizado el 24/10/2024,,,Alquiler,90 m²,80 m²,3,1,,Más de 50 años,En buen estado,4523130-000011,2ª,,,,
"Piso en alquiler en Paseo de la Castellana, cerca de Calle de Francisco Gervás",Almenara (Distrito Tetuán. Madrid Capital),1.750,80,Anuncio actualizado el 23/10/2024,,,Alquiler,80 m²,72 m²,2,1,,Más de 50 años,En buen estado,4519303-000907,2ª,Entre 20 y 40 €,,,
Chalet adosado en alquiler en El Soto de La Moraleja,El Soto de la Moraleja (La Moraleja),4.000,350,Anuncio actualizado el 28/10/2024,,,Alquiler,350 m²,340 m²,5,5,,Entre 20 y 30 años,En buen estado,1794-1101805,,,,,
Ático en alquiler en Parla,La Ermita (Parla),1.200,160,Anuncio actualizado el 16/10/2024,,,Alquiler,160 m²,,3,2,,Entre 10 y 20 años,En buen estado,SA84-5385AL,5ª,,,,
Ático en alquiler en Encinar de los Reyes,Encinar de los Reyes (La Moraleja),2.800,170,Anuncio actualizado el 28/10/2024,,,Alquiler,170 m²,150 m²,3,3,,Entre 20 y 30 años,En buen estado,1794-1101891,3ª,,,,
Ático en alquiler en Calle del Trole,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),1.800,118,Anuncio actualizado el 28/10/2024,,,Alquiler,118 m²,,3,2,,,En buen estado,SA5087-1301744,9ª,,,,
"Piso en alquiler en Calle de las Islas Caimán, 3",Garena (Distrito Chorrillo-Garena. Alcalá de Henares),870,63,Anuncio actualizado el 28/10/2024,,,Alquiler,63 m²,,1,1,,Menos de 5 años,En buen estado,SA5100-2201/22010013/00000037,1ª,,,,
Piso en alquiler en Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),1.200,46,Anuncio actualizado el 28/10/2024,Consumo:393 kWh/m² año,Emisiones:93 Kg CO₂/m² año,Alquiler,46 m²,,3,1,,Más de 50 años,En buen estado,TC517-596720,4ª,,,,
"Piso en alquiler en Calle de Padilla, cerca de Calle de Montesa",Lista (Distrito Salamanca. Madrid Capital),2.250,114,Anuncio actualizado el 28/10/2024,Consumo:300 kWh/m² año,Emisiones:63 Kg CO₂/m² año,Alquiler,114 m²,,3,2,,Más de 50 años,Reformado,TC619-597347,7ª,,,,
"Piso en alquiler en Calle de Don Ramón de la Cruz, cerca de Calle de Montesa",Lista (Distrito Salamanca. Madrid Capital),2.900,99,Anuncio actualizado el 28/10/2024,Consumo:154 kWh/m² año,Emisiones:34 Kg CO₂/m² año,Alquiler,99 m²,,2,2,,Más de 50 años,Reformado,TC619-596094,,,,,
Piso en alquiler en Calle del Castillo de Candanchú,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1.375,103,Anuncio actualizado el 15/10/2024,,,Alquiler,103 m²,88 m²,2,2,,Entre 10 y 20 años,En buen estado,4994226-9269182,4ª,Entre 60 y 80 €,,,
Piso en alquiler en Calle Alfonso VI,Estación (Valdemoro),1.325,138,Anuncio actualizado el 09/10/2024,Consumo:52 kWh/m² año,Emisiones:10 Kg CO₂/m² año,Alquiler,138 m²,86 m²,3,2,,Menos de 5 años,En buen estado,4991523-000015,2ª,,,,
Piso en alquiler en Suroeste,Oeste (Móstoles),995,85,Anuncio actualizado el 28/10/2024,,,Alquiler,85 m²,,3,2,,,En buen estado,XA24-2811-031136,4ª,,,,
Estudio en alquiler en Pueblo Nuevo,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),750,28,Anuncio actualizado el 28/10/2024,,,Alquiler,28 m²,28 m²,,1,,,Reformado,518978-2A1126,4ª,,,,
Apartamento en alquiler en Chamartin,Sol (Distrito Centro. Madrid Capital),1.825,25,Anuncio actualizado el 28/10/2024,,,Alquiler,25 m²,,1,1,,,A estrenar,XA633-4867,1ª,,,,
Piso en alquiler en Calle Terradas,El Rosón-Kelvinator (Getafe),1.350,100,Anuncio actualizado el 28/10/2024,,,Alquiler,100 m²,95 m²,3,2,,Entre 20 y 30 años,En buen estado,4998331-13385260,2ª,,,,
Piso en alquiler en Centro,Justicia-Chueca (Distrito Centro. Madrid Capital),1.500,75,Anuncio actualizado el 25/10/2024,,,Alquiler,75 m²,,2,1,,Entre 30 y 50 años,,GB18-UNI3304 PISO EN ALQUILER EN CENTRO - UNIVERSIDAD,4ª,,,,
Piso en alquiler en Arapiles,Arapiles (Distrito Chamberí. Madrid Capital),1.500,90,Anuncio actualizado el 24/10/2024,,,Alquiler,90 m²,75 m²,2,1,,,,IFC76014-PIS_358,,,,,
Piso en alquiler en Prosperidad,Prosperidad (Distrito Chamartín. Madrid Capital),1.700,98,Anuncio actualizado el 24/10/2024,,,Alquiler,98 m²,,,2,,Entre 30 y 50 años,Reformado,TC622-599149,5ª,,,,
"Piso en alquiler en Calle de Letonia, 14",Nuevo Tres Cantos (Tres Cantos),1.236,93,Anuncio actualizado el 21/10/2024,Consumo:22.73 kWh/m² año,Emisiones:3.85 Kg CO₂/m² año,Alquiler,93 m²,,3,2,,,A estrenar,4528991-21490388,1ª,,,,
Piso en alquiler en Tetuan,Valdeacederas (Distrito Tetuán. Madrid Capital),1.100,54,Anuncio actualizado el 28/10/2024,,,Alquiler,54 m²,,1,1,,,En buen estado,XA24-2815-031068,3ª,,,,
"Ático en alquiler en Avenida de Joan Miró, 1",Zona Sureste (Torrejón de Ardoz),899,58,Anuncio actualizado el 28/10/2024,,,Alquiler,58 m²,,1,1,,,En buen estado,SA5100-2200/22000602/00000027,5ª,,,,
Piso en alquiler en El Soto,El Soto de la Moraleja (La Moraleja),1.900,95,Anuncio actualizado el 28/10/2024,,,Alquiler,95 m²,90 m²,1,,,,En buen estado,1794-001337,Bajo,,,,
Piso en alquiler en Arganzuela,Imperial (Distrito Arganzuela. Madrid Capital),1.695,90,Anuncio actualizado el 28/10/2024,,,Alquiler,90 m²,,2,2,,,A estrenar,XA24-2818-030755,3ª,,,,
Piso en alquiler en Distrito Salamanca,Recoletos (Distrito Salamanca. Madrid Capital),2.995,70,Anuncio actualizado el 28/10/2024,,,Alquiler,70 m²,,2,1,,,En buen estado,XA633-4638,3ª,,,,
Chalet en alquiler en La Moraleja,Encinar de los Reyes (La Moraleja),8.500,350,Anuncio actualizado el 28/10/2024,,,Alquiler,350 m²,,5,6,,Más de 50 años,,GM34-179427,,,,,
Piso en alquiler en Hortaleza,Timón (Distrito Barajas. Madrid Capital),2.100,130,Anuncio actualizado el 28/10/2024,,,Alquiler,130 m²,,3,2,,,A estrenar,XA24-2812-030891,2ª,,,,
Chalet adosado en alquiler en Carretera del Plantío,Zona Carretera del Plantío (Majadahonda),3.950,307,Anuncio actualizado el 28/10/2024,,,Alquiler,307 m²,,4,,,Más de 50 años,,GM34-200141,,,,,
"Piso en alquiler en Calle de Letonia, 14",Nuevo Tres Cantos (Tres Cantos),950,72,Anuncio actualizado el 21/10/2024,Consumo:22.73 kWh/m² año,Emisiones:3.85 Kg CO₂/m² año,Alquiler,72 m²,,2,1,,,A estrenar,4528991-21490384,1ª,,,,
Piso en alquiler en Calle de Martín de los Heros,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.100,46,Anuncio actualizado el 17/09/2024,,,Alquiler,46 m²,,1,1,,Más de 50 años,En buen estado,SA2470-MHBeteta10,1ª,,,,
"Piso en alquiler en Paseo de la Habana, cerca de Calle de Romero Girón",Hispanoamérica (Distrito Chamartín. Madrid Capital),3.000,159,Anuncio actualizado el 25/10/2024,,,Alquiler,159 m²,,3,3,,Más de 50 años,,IF76850-M30499A,5ª,,,,
Piso en alquiler en Calle del Conde Duque,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.500,161,Anuncio actualizado el 21/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,161 m²,,4,3,,,,IF76602-M20609A,3ª,,,,
Piso en alquiler en Calle de Almagro,Almagro (Distrito Chamberí. Madrid Capital),4.200,181,Anuncio actualizado el 08/10/2024,,,Alquiler,181 m²,160 m²,3,2,,Más de 50 años,Reformado,4995410-AL-1,1ª,,,5 balcones con grandes ventanales a la calle.,
"Estudio en alquiler en Calle de Narváez, 70, cerca de Calle de Ibiza",Ibiza (Distrito Retiro. Madrid Capital),950,40,Anuncio actualizado el 28/10/2024,Consumo:140 kWh/m² año,Emisiones:24 Kg CO₂/m² año,Alquiler,40 m²,40 m²,,1,,Entre 30 y 50 años,En buen estado,4998173-N70,3ª,,,,
Piso en alquiler en Calle del General Álvarez de Castro,Trafalgar (Distrito Chamberí. Madrid Capital),1.850,78,Anuncio actualizado el 22/10/2024,,,Alquiler,78 m²,64 m²,2,1,,Más de 50 años,En buen estado,STA25-RP752024131579,,,,,
Piso en alquiler en Calle de Cea Bermúdez,Vallehermoso (Distrito Chamberí. Madrid Capital),2.400,100,Anuncio actualizado el 27/10/2024,,,Alquiler,100 m²,,3,2,,,En buen estado,SA5184-106360281,4ª,,,,
"Apartamento en alquiler en Avenida de Alberto Alcocer, 16",Hispanoamérica (Distrito Chamartín. Madrid Capital),2.300,95,Anuncio actualizado el 24/02/2023,,,Alquiler,95 m²,,2,2,,,,4521170-DE-2EU402-19052020-89840032,4ª,,,,
Piso en alquiler en Calle Cebreiro,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1.680,115,Anuncio actualizado el 27/09/2024,,,Alquiler,115 m²,87 m²,2,2,,Entre 10 y 20 años,En buen estado,4992227-1,Bajo,,,,
Piso en alquiler en Calle de Luis Carreño,San Agustín del Guadalix,1.100,72,Anuncio actualizado el 20/09/2024,,,Alquiler,72 m²,68 m²,2,2,,Entre 20 y 30 años,En buen estado,4997919-1219,2ª,,,,
Piso en alquiler en Calle del Aviador Zorita,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2.500,174,Anuncio actualizado el 03/10/2024,,,Alquiler,174 m²,165 m²,4,2,,Entre 30 y 50 años,Reformado,4528417-000004,7ª,,,,
Piso en alquiler en Avenida de Mallorca,Pinar-Punta Galea (Las Rozas de Madrid),1.300,82,Anuncio actualizado el 23/10/2024,,,Alquiler,82 m²,76 m²,2,1,,Entre 10 y 20 años,En buen estado,4515177-1000,2ª,Más de 100 €,,,
"Piso en alquiler en Calle de Juan de Urbieta, cerca de Calle de Viera y Clavijo",Niño Jesús (Distrito Retiro. Madrid Capital),4.900,245,Anuncio actualizado el 16/09/2024,,,Alquiler,245 m²,180 m²,4,3,,Más de 50 años,En buen estado,SA2646-DR.236,3ª,,,,
"Chalet adosado en alquiler en Calle Reyes Católicos, 20",Sector B (Boadilla del Monte),3.450,370,Anuncio actualizado el 17/10/2024,,,Alquiler,370 m²,340 m²,4,4,,Menos de 5 años,A estrenar,4524622-M-132,,,45 m²,,
Piso en alquiler en Calle Jorge Juan,Goya (Distrito Salamanca. Madrid Capital),3.500,207,Anuncio actualizado el 28/10/2024,,,Alquiler,207 m²,,5,3,,Más de 50 años,En buen estado,SA5629-4526-06728,3ª,,,,
"Piso en alquiler en Calle del Conde de Peñalver, cerca de Calle de Don Ramón de la Cruz",Goya (Distrito Salamanca. Madrid Capital),2.695,83,Anuncio actualizado el 28/10/2024,,,Alquiler,83 m²,,2,2,,,,IF75984-M11485A,,,,,
